iter	Passed	Remaining
0	29	29452
1	61	30613
2	88	29535
3	112	28134
4	138	27654
5	165	27337
6	190	27001
7	212	26350
8	235	25893
9	263	26094
10	288	25918
11	311	25665
12	328	24977
13	344	24279
14	361	23736
15	377	23244
16	393	22736
17	408	22262
18	423	21854
19	438	21472
20	453	21156
21	471	20944
22	486	20664
23	501	20394
24	517	20166
25	532	19961
26	548	19755
27	564	19609
28	579	19400
29	594	19216
30	610	19080
31	626	18948
32	641	18808
33	657	18683
34	674	18586
35	690	18478
36	705	18366
37	724	18350
38	741	18259
39	756	18156
40	772	18059
41	787	17956
42	802	17854
43	817	17759
44	832	17673
45	847	17574
46	864	17526
47	881	17478
48	896	17403
49	912	17331
50	926	17243
51	941	17165
52	957	17101
53	973	17049
54	988	16986
55	1003	16916
56	1019	16863
57	1034	16802
58	1049	16746
59	1066	16715
60	1083	16677
61	1097	16610
62	1113	16556
63	1130	16529
64	1147	16505
65	1164	16483
66	1181	16450
67	1196	16399
68	1211	16353
69	1227	16303
70	1241	16250
71	1256	16191
72	1276	16207
73	1295	16212
74	1311	16174
75	1326	16123
76	1341	16080
77	1356	16038
78	1371	15993
79	1387	15960
80	1403	15918
81	1418	15878
82	1433	15835
83	1448	15799
84	1462	15748
85	1479	15723
86	1496	15708
87	1511	15664
88	1526	15621
89	1541	15581
90	1559	15580
91	1577	15565
92	1593	15542
93	1610	15522
94	1626	15491
95	1641	15458
96	1658	15439
97	1676	15427
98	1693	15409
99	1709	15382
100	1724	15352
101	1741	15332
102	1757	15305
103	1774	15283
104	1790	15262
105	1806	15235
106	1822	15212
107	1838	15184
108	1854	15157
109	1871	15141
110	1891	15150
111	1907	15126
112	1923	15098
113	1941	15092
114	1960	15088
115	1977	15072
116	1993	15047
117	2009	15020
118	2025	14994
119	2040	14966
120	2057	14944
121	2073	14924
122	2090	14903
123	2107	14886
124	2123	14861
125	2139	14838
126	2155	14813
127	2172	14802
128	2190	14787
129	2207	14771
130	2223	14750
131	2242	14743
132	2259	14729
133	2276	14710
134	2293	14698
135	2311	14686
136	2329	14673
137	2346	14654
138	2362	14631
139	2388	14671
140	2404	14650
141	2421	14631
142	2437	14607
143	2455	14595
144	2471	14573
145	2488	14553
146	2506	14545
147	2523	14529
148	2539	14505
149	2555	14482
150	2574	14477
151	2591	14456
152	2607	14435
153	2623	14412
154	2639	14390
155	2655	14367
156	2671	14343
157	2688	14326
158	2705	14308
159	2721	14287
160	2739	14273
161	2757	14261
162	2774	14248
163	2806	14305
164	2833	14340
165	2861	14375
166	2887	14401
167	2913	14427
168	2937	14445
169	2971	14508
170	3000	14548
171	3029	14581
172	3067	14662
173	3104	14737
174	3140	14805
175	3182	14899
176	3233	15035
177	3291	15198
178	3330	15277
179	3370	15352
180	3396	15369
181	3424	15391
182	3452	15414
183	3478	15428
184	3504	15437
185	3531	15452
186	3555	15459
187	3578	15456
188	3604	15464
189	3632	15485
190	3662	15510
191	3687	15518
192	3712	15524
193	3738	15531
194	3765	15543
195	3790	15549
196	3817	15560
197	3843	15569
198	3869	15573
199	3895	15581
200	3921	15586
201	3948	15600
202	3974	15605
203	4005	15627
204	4036	15652
205	4067	15677
206	4092	15678
207	4118	15682
208	4146	15695
209	4171	15694
210	4198	15700
211	4224	15703
212	4249	15700
213	4274	15699
214	4299	15698
215	4326	15702
216	4353	15706
217	4378	15707
218	4404	15706
219	4430	15707
220	4457	15713
221	4485	15719
222	4512	15724
223	4539	15726
224	4565	15725
225	4592	15727
226	4618	15725
227	4646	15731
228	4672	15730
229	4696	15724
230	4722	15722
231	4749	15721
232	4776	15722
233	4800	15715
234	4826	15711
235	4852	15708
236	4877	15702
237	4906	15709
238	4933	15707
239	4960	15707
240	4985	15701
241	5011	15697
242	5037	15693
243	5065	15694
244	5090	15688
245	5118	15688
246	5147	15692
247	5180	15710
248	5319	16043
249	5356	16069
250	5393	16095
251	5436	16136
252	5467	16144
253	5497	16146
254	5531	16161
255	5564	16171
256	5601	16193
257	5642	16227
258	5689	16277
259	5725	16296
260	5755	16296
261	5784	16293
262	5814	16294
263	5848	16303
264	5884	16322
265	5917	16329
266	5955	16349
267	5994	16372
268	6027	16380
269	6057	16376
270	6091	16387
271	6125	16395
272	6164	16415
273	6196	16417
274	6228	16419
275	6259	16420
276	6291	16422
277	6327	16433
278	6362	16443
279	6396	16448
280	6429	16451
281	6462	16455
282	6498	16463
283	6535	16476
284	6575	16496
285	6611	16506
286	6647	16515
287	6684	16524
288	6719	16531
289	6749	16524
290	6783	16526
291	6817	16529
292	6847	16523
293	6885	16535
294	6920	16538
295	6950	16530
296	6987	16539
297	7030	16562
298	7068	16572
299	7104	16577
300	7135	16570
301	7171	16574
302	7206	16578
303	7245	16587
304	7279	16587
305	7310	16579
306	7345	16580
307	7380	16582
308	7417	16586
309	7451	16586
310	7485	16583
311	7521	16585
312	7556	16585
313	7595	16593
314	7632	16597
315	7667	16597
316	7704	16600
317	7738	16596
318	7771	16590
319	7805	16586
320	7842	16589
321	7877	16586
322	7909	16578
323	7946	16579
324	7985	16584
325	8017	16575
326	8054	16577
327	8090	16575
328	8128	16579
329	8163	16573
330	8199	16573
331	8232	16563
332	8276	16577
333	8310	16571
334	8347	16569
335	8382	16564
336	8421	16568
337	8457	16564
338	8494	16562
339	8530	16559
340	8567	16557
341	8603	16551
342	8640	16551
343	8686	16564
344	8719	16553
345	8755	16548
346	8788	16538
347	8823	16531
348	8860	16527
349	8902	16532
350	8937	16524
351	8974	16520
352	9011	16516
353	9045	16506
354	9088	16512
355	9122	16501
356	9156	16491
357	9195	16490
358	9230	16480
359	9266	16474
360	9305	16471
361	9345	16470
362	9380	16461
363	9418	16456
364	9453	16447
365	9491	16442
366	9527	16432
367	9558	16415
368	9589	16397
369	9621	16382
370	9654	16367
371	9680	16341
372	9712	16326
373	9745	16311
374	9795	16326
375	9838	16328
376	9904	16367
377	9965	16397
378	10017	16414
379	10083	16451
380	10158	16503
381	10229	16549
382	10309	16608
383	10400	16684
384	10477	16736
385	10550	16782
386	10631	16839
387	10707	16888
388	10793	16953
389	10878	17014
390	10961	17072
391	11043	17128
392	11119	17175
393	11206	17236
394	11287	17288
395	11357	17323
396	11444	17382
397	11528	17437
398	11599	17472
399	11678	17518
400	11757	17562
401	11834	17604
402	11916	17653
403	11995	17696
404	12082	17750
405	12163	17795
406	12241	17835
407	12327	17886
408	12415	17939
409	12501	17989
410	12585	18036
411	12679	18095
412	12762	18139
413	12857	18198
414	12945	18248
415	13022	18281
416	13098	18312
417	13190	18365
418	13282	18418
419	13371	18465
420	13456	18507
421	13549	18558
422	13629	18591
423	13710	18625
424	13796	18666
425	13868	18687
426	13958	18731
427	14049	18776
428	14129	18806
429	14219	18848
430	14302	18882
431	14391	18922
432	14479	18959
433	14559	18988
434	14652	19031
435	14737	19064
436	14828	19103
437	14914	19137
438	14996	19164
439	15103	19222
440	15188	19252
441	15268	19275
442	15355	19306
443	15441	19336
444	15526	19364
445	15616	19398
446	15700	19423
447	15786	19451
448	15870	19476
449	15961	19508
450	16056	19545
451	16145	19574
452	16241	19611
453	16329	19638
454	16414	19661
455	16498	19682
456	16577	19697
457	16658	19713
458	16737	19727
459	16816	19741
460	16901	19760
461	16990	19785
462	17081	19811
463	17189	19856
464	17281	19883
465	17371	19906
466	17451	19918
467	17535	19932
468	17627	19957
469	17720	19982
470	17811	20004
471	17901	20025
472	17988	20042
473	18078	20061
474	18162	20073
475	18246	20086
476	18336	20105
477	18435	20133
478	18536	20162
479	18654	20209
480	18767	20249
481	18880	20291
482	18952	20286
483	19035	20294
484	19124	20307
485	19210	20317
486	19294	20324
487	19372	20324
488	19459	20334
489	19536	20334
490	19624	20343
491	19724	20365
492	19810	20373
493	19900	20383
494	19983	20387
495	20072	20395
496	20165	20408
497	20253	20416
498	20340	20422
499	20429	20429
500	20514	20432
501	20608	20444
502	20689	20442
503	20778	20449
504	20858	20445
505	20947	20450
506	21067	20485
507	21161	20494
508	21251	20499
509	21342	20505
510	21442	20518
511	21537	20527
