iter	Passed	Remaining
0	52	51956
1	55	27911
2	62	20800
3	73	18393
4	85	16941
5	97	16142
6	108	15396
7	119	14805
8	127	14075
9	136	13492
10	142	12849
11	149	12278
12	153	11676
13	158	11134
14	162	10650
15	168	10345
16	172	9990
17	176	9645
18	181	9385
19	187	9185
20	191	8944
21	195	8692
22	199	8483
23	203	8289
24	207	8095
25	211	7914
26	215	7783
27	220	7638
28	224	7500
29	227	7363
30	231	7239
31	236	7141
32	239	7019
33	243	6910
34	246	6806
35	251	6729
36	258	6715
37	262	6644
38	267	6601
39	271	6518
40	275	6436
41	279	6380
42	283	6314
43	287	6241
44	290	6173
45	295	6124
46	298	6059
47	302	6000
48	306	5946
49	311	5917
50	315	5869
51	319	5821
52	322	5769
53	328	5753
54	333	5725
55	337	5685
56	342	5669
57	347	5638
58	351	5605
59	356	5580
60	361	5560
61	365	5533
62	373	5552
63	377	5517
64	380	5479
65	384	5441
66	389	5428
67	394	5403
68	397	5369
69	401	5335
70	405	5303
71	408	5271
72	412	5239
73	416	5214
74	420	5181
75	423	5147
76	426	5117
77	430	5093
78	434	5064
79	438	5043
80	442	5017
81	445	4988
82	449	4964
83	452	4937
84	456	4912
85	459	4884
86	465	4883
87	469	4861
88	472	4838
89	476	4814
90	479	4787
91	483	4773
92	487	4750
93	490	4730
94	494	4707
95	497	4683
96	500	4662
97	504	4642
98	508	4625
99	512	4608
100	515	4591
101	519	4571
102	523	4560
103	527	4545
104	532	4540
105	536	4526
106	540	4508
107	544	4495
108	548	4484
109	553	4476
110	557	4468
111	562	4457
112	566	4450
113	570	4433
114	573	4416
115	578	4408
116	583	4402
117	586	4384
118	590	4374
119	594	4360
120	598	4346
121	601	4330
122	605	4314
123	609	4302
124	613	4294
125	616	4278
126	620	4264
127	624	4256
128	628	4242
129	631	4227
130	635	4213
131	639	4203
132	643	4195
133	647	4182
134	650	4168
135	654	4156
136	657	4144
137	662	4137
138	665	4123
139	669	4112
140	675	4116
141	679	4103
142	682	4090
143	687	4085
144	693	4091
145	697	4080
146	701	4068
147	705	4060
148	708	4046
149	711	4030
150	714	4020
151	719	4014
152	722	4001
153	728	4003
154	732	3992
155	735	3981
156	739	3968
157	741	3953
158	744	3940
159	749	3932
160	752	3920
161	754	3903
162	758	3892
163	761	3880
164	764	3868
165	767	3853
166	770	3841
167	772	3827
168	776	3816
169	779	3806
170	782	3793
171	785	3781
172	788	3767
173	791	3756
174	794	3745
175	797	3734
176	800	3720
177	802	3707
178	806	3699
179	810	3690
180	812	3676
181	815	3666
182	818	3653
183	821	3641
184	824	3632
185	827	3621
186	831	3613
187	834	3604
188	837	3595
189	841	3585
190	844	3578
191	847	3567
192	850	3558
193	854	3548
194	856	3536
195	860	3529
196	863	3518
197	867	3512
198	869	3500
199	872	3490
200	875	3479
201	878	3470
202	881	3461
203	884	3452
204	888	3444
205	891	3437
206	895	3431
207	898	3421
208	901	3411
209	905	3404
210	907	3394
211	910	3384
212	913	3374
213	916	3365
214	919	3356
215	922	3346
216	924	3337
217	928	3329
218	930	3319
219	933	3308
220	937	3303
221	940	3296
222	943	3287
223	946	3279
224	949	3270
225	952	3262
226	956	3256
227	958	3246
228	961	3238
229	964	3228
230	967	3221
231	971	3214
232	974	3206
233	976	3197
234	979	3189
235	985	3189
236	988	3183
237	992	3177
238	997	3175
239	1000	3167
240	1003	3160
241	1006	3151
242	1009	3144
243	1012	3137
244	1016	3132
245	1019	3123
246	1022	3117
247	1025	3109
248	1029	3106
249	1033	3100
250	1036	3091
251	1040	3089
252	1044	3084
253	1047	3076
254	1049	3066
255	1052	3059
256	1056	3053
257	1059	3046
258	1061	3037
259	1064	3030
260	1067	3022
261	1072	3021
262	1075	3014
263	1078	3006
264	1081	2999
265	1084	2992
266	1087	2985
267	1090	2978
268	1093	2971
269	1096	2964
270	1099	2956
271	1102	2952
272	1105	2944
273	1108	2937
274	1111	2930
275	1114	2923
276	1118	2918
277	1121	2912
278	1124	2904
279	1127	2898
280	1129	2890
281	1132	2883
282	1135	2876
283	1137	2868
284	1140	2861
285	1143	2853
286	1146	2847
287	1149	2840
288	1151	2833
289	1155	2829
290	1158	2823
291	1162	2817
292	1164	2811
293	1167	2803
294	1170	2797
295	1173	2790
296	1175	2783
297	1178	2776
298	1181	2768
299	1183	2762
300	1186	2755
301	1189	2748
302	1191	2741
303	1194	2735
304	1197	2728
305	1201	2724
306	1204	2718
307	1207	2712
308	1210	2706
309	1212	2699
310	1215	2693
311	1218	2687
312	1222	2682
313	1224	2675
314	1227	2668
315	1230	2663
316	1233	2656
317	1236	2651
318	1239	2645
319	1242	2639
320	1246	2637
321	1252	2637
322	1257	2635
323	1262	2633
324	1267	2632
325	1271	2628
326	1273	2621
327	1276	2615
